Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Long Beach St	Big West	16-17	0.48485	+3	141	1.51962	150	27.1638	174	82.9056	143	16.9604	4.76603	93	29.6674	
E Kentucky	OH Valley	21-12	0.63636	+4	142	1.51553	133	28.2641	175	82.7823	115	18.1869	2.49122	239	23.3029	
NJIT	D1 Independent	21-12	0.63636	+14	143	1.51473	166	25.8893	80	86.7447	259	11.8476	3.56385	300	21.2267	
Manhattan	Metro Atlantic	19-14	0.57576	+10	144	1.51147	148	27.4226	109	85.1672	199	14.9579	2.39449	200	24.323	
Robert Morris	Northeast	20-15	0.57143	+13	145	1.51022	161	26.2524	150	83.5989	184	15.3592	2.72566	194	24.4794	
TX Southern	Southwestern AC	22-13	0.62857	-4	146	1.50698	191	24.2719	118	84.9855	256	11.993	2.64442	254	22.7527	
San Diego	West Coast	15-16	0.48387	-21	147	1.50441	126	28.5862	246	79.6695	62	21.6164	2.3839	104	28.4684	
USC	Pac 12	12-20	0.375	+11	148	1.48747	140	27.7329	93	85.8241	203	14.6138	4.68076	71	31.5523	
Portland	West Coast	17-16	0.51515	-31	149	1.48496	145	27.5597	111	85.064	189	15.1954	1.44952	116	27.4426	
Lafayette	Patriot League	20-13	0.60606	+2	150	1.48385	174	25.3376	57	88.3695	305	9.6748	2.4737	205	24.2301	
MTSU	Conference USA	19-17	0.52778	-11	151	1.4816	168	25.7972	272	78.5635	86	19.935	4.47283	142	26.1957	
E Michigan	Mid-American	21-14	0.6	-18	152	1.47982	157	26.4625	197	81.9153	135	17.2484	3.51399	210	24.1203	
Chattanooga	Southern	22-10	0.6875	+3	153	1.47094	156	26.5164	119	84.9584	208	14.2616	3.64625	266	22.2026	
Washington St	Pac 12	13-18	0.41935	+7	154	1.47034	181	24.9591	52	88.9891	315	8.6752	5.38182	74	31.2183	
Rider	Metro Atlantic	21-12	0.63636	+14	155	1.46841	164	26.1906	217	81.0043	119	17.8892	2.52619	190	24.5715	
San Francisco	West Coast	14-18	0.4375	-11	156	1.45804	143	27.6467	126	84.5783	174	15.7675	1.80932	108	27.892	
Montana	Big Sky	20-13	0.60606	+9	157	1.45741	170	25.5328	173	82.9192	185	15.3167	3.31994	221	23.7512	
North Florida	Atlantic Sun	23-12	0.65714	-31	158	1.45686	147	27.4766	66	87.6997	251	12.4819	3.77797	298	21.2801	
Morehead St	OH Valley	17-17	0.5	+12	159	1.45054	142	27.6564	106	85.2501	193	15.11	2.68185	192	24.5098	
W Michigan	Mid-American	20-14	0.58824	-17	160	1.44758	178	25.0726	116	85.0225	247	12.7502	3.75025	165	25.2784	
DePaul	Big East	12-20	0.375	-8	161	1.44673	165	26.1592	75	87.2035	264	11.6593	4.22557	66	32.1374	
Mississippi St	Southeastern	13-19	0.40625	-13	162	1.44421	152	26.9893	248	79.4902	82	20.1978	2.81451	89	29.8269	
Princeton	Ivy League	16-14	0.53333		163	1.44042	154	26.6575	125	84.6923	202	14.6694	2.86593	201	24.3199	
Vermont	America East	20-14	0.58824	+30	164	1.43377	134	28.2054	178	82.731	116	18.1786	2.83391	257	22.5535	
St Francis NY	Northeast	23-12	0.65714	-3	165	1.43128	160	26.2605	179	82.7224	160	16.2414	3.24901	288	21.5792	
Virginia Tech	Atlantic Coast	11-22	0.33333	+4	166	1.42822	153	26.738	146	83.7152	176	15.725	2.60236	73	31.38	
Indiana St	Missouri Val	15-16	0.48387	+15	167	1.42769	169	25.7168	132	84.4323	214	13.9905	4.17841	111	27.692	
Canisius	Metro Atlantic	18-15	0.54545	+44	168	1.4252	149	27.1896	189	82.2619	127	17.6311	2.40585	171	25.0492	
Monmouth NJ	Metro Atlantic	18-15	0.54545	+12	169	1.4231	175	25.3089	236	80.1291	120	17.8844	1.82914	185	24.7457	
