Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
CS Bakersfield	Western Athletic	21-8	0.72414	-4	103	1.73389	109	32.5771	276	83.3487	28	25.9899	2.97577	220	25.3568	221	25.3568	0	0	
Valparaiso	Horizon	24-8	0.75	-25	104	1.73005	100	33.1235	187	88.281	70	21.6071	2.8176	156	27.3039	158	27.3039	0	0	
Rutgers	Big 10	15-17	0.46875	+20	105	1.71565	118	31.7902	252	84.8094	46	23.7353	2.44934	71	34.0286	68	34.2306	0.2123	0.7877	
San Francisco	West Coast	20-12	0.625	-5	106	1.7108	98	33.2156	183	88.6544	71	21.3219	2.50048	108	30.2313	107	30.2313	0	0	
Arizona St	Pac 12	15-17	0.46875	+8	107	1.70342	117	31.8591	36	97.1028	265	11.5145	3.60779	65	34.3755	65	34.7119	0.1042	0.8958	
Santa Clara	West Coast	17-16	0.51515	+19	108	1.70281	103	32.9716	227	86.6027	56	23.1282	1.51541	97	31.3065	97	31.3065	0	0	
San Diego St	Mountain West	18-13	0.58065	+2	109	1.70099	88	34.6848	268	83.7669	15	27.6777	3.73785	113	29.8281	112	29.9715	0.5134	0.4866	
N Kentucky	Horizon	24-10	0.70588	+18	110	1.69862	135	30.0773	156	89.6626	151	17.1774	2.69274	234	24.8867	236	24.8867	0	0	
Connecticut	American Athletic	14-16	0.46667	-9	111	1.69334	107	32.7571	237	85.8524	47	23.6654	3.60767	74	33.789	79	33.3402	0.8846	0.1154	
Temple	American Athletic	16-15	0.51613		112	1.69206	112	32.4831	131	90.9029	127	18.3413	3.40366	82	32.9392	84	32.7318	0.7053	0.2947	
New Mexico	Mountain West	17-13	0.56667	+10	113	1.68785	122	31.3793	126	91.1978	157	16.9385	3.39781	98	31.2284	98	31.288	0.4429	0.5571	
Iona	Metro Atlantic	22-12	0.64706	+35	114	1.68724	120	31.733	44	96.4467	251	12.0466	1.38259	166	27.0158	167	27.0158	0	0	
Stanford	Pac 12	14-17	0.45161	-21	115	1.68631	108	32.7015	157	89.5799	95	19.8794	4.60869	61	35.6373	61	35.6373	0	0	
Harvard	Ivy League	18-9	0.66667	-16	116	1.68476	105	32.8488	184	88.6448	77	20.9626	2.06846	196	26.1182	192	26.2342	0.6178	0.3822	
Louisiana Tech	Conference USA	22-9	0.70968	+5	117	1.67037	104	32.9123	117	91.3768	128	18.2918	4.24128	241	24.7952	243	24.8022	0.7452	0.2548	
