Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
MTSU	OH Valley	15-13	0.53571	+1	157	0.230596	164	1.9548	74	76.6305	251	-3.79928	3.95936	170	2.82476	
Clemson	Atlantic Coast	10-20	0.33333	-1	158	0.227872	159	2.55341	219	68.4746	101	4.95945	4.08417	74	8.41289	
La Salle	Atlantic 10	11-17	0.39286	-3	159	0.22036	155	2.80965	197	69.6497	114	4.04197	4.34982	108	6.66854	
WI Green Bay	Midwestern CC	14-16	0.46667		160	0.219053	158	2.57146	304	61.1743	15	12.2788	7.0942	127	5.46454	
Santa Barbara	Big West	14-14	0.5		161	0.194564	149	3.32469	224	68.3401	89	5.8997	5.10225	154	3.64234	
Valparaiso	Mid-Continent	19-13	0.59375		162	0.162868	173	1.0412	282	63.6805	54	8.26607	4.23552	211	0.512102	
W Michigan	Mid-American	10-18	0.35714	+1	163	0.159259	172	1.10978	78	76.2126	259	-4.21185	5.02686	103	7.08412	
Florida Intl	Sun Belt	16-14	0.53333	-1	164	0.153585	165	1.93868	174	70.8489	152	1.98164	4.13201	191	1.70074	
Georgia St	Trans America	17-12	0.58621		165	0.130553	167	1.80301	170	71.2493	164	1.44919	2.25143	242	-1.16912	
Portland St	Big Sky	15-14	0.51724		166	0.124905	160	2.44714	104	74.7795	214	-1.43004	4.93905	168	2.88024	
Kansas St	Big 12	9-19	0.32143		167	0.122778	168	1.76293	140	72.884	194	-0.227512	4.97286	55	9.62572	
Boise St	Big West	12-15	0.44444		168	0.12183	156	2.69564	281	63.7285	35	9.87507	4.1373	150	4.10799	
Nebraska	Big 12	11-19	0.36667	+3	169	0.083772	169	1.65606	149	72.3073	184	0.250345	6.0988	96	7.38219	
Houston	Conference USA	9-22	0.29032		170	0.077771	154	2.84799	28	80.348	285	-6.60046	4.19072	86	7.86631	
Wichita St	Missouri Val	12-17	0.41379	-2	171	0.076723	171	1.2186	204	69.284	139	2.82202	5.69802	145	4.35977	
Radford	Big South	18-10	0.64286	-1	172	0.06685	186	-0.657226	166	71.4312	210	-1.19797	5.22863	249	-1.66748	
Fairfield	Metro Atlantic	14-15	0.48276	+2	173	0.061909	170	1.26514	100	75.175	237	-3.02064	4.42622	181	2.21981	
Davidson	Southern	15-13	0.53571	-1	174	0.048934	166	1.83259	151	72.114	177	0.619467	4.84113	194	1.37962	
Robert Morris	Northeast	18-12	0.6	+2	175	0.042151	177	0.106714	190	70.0681	170	0.939433	2.25941	255	-1.97811	
Northwestern LA	Southland	17-13	0.56667	-2	176	0.040688	190	-0.73152	260	65.8632	111	4.30032	2.72641	234	-0.818426	
Niagara	Metro Atlantic	17-12	0.58621	+1	177	0.039366	194	-1.30675	85	75.8577	280	-6.2831	4.1434	224	-0.245227	
VA Commonwealth	Colonial	14-14	0.5	-2	178	0.016236	193	-1.2377	129	73.4379	250	-3.79283	5.17768	184	2.14612	
UC Irvine	Big West	14-14	0.5	+2	179	-0.007962	185	-0.644654	247	66.7696	126	3.49874	3.79536	174	2.60988	
Bucknell	Patriot League	17-11	0.60714	-1	180	-0.008439	189	-0.719223	273	64.6719	97	5.5044	3.27861	247	-1.62902	
Southern Utah	Mid-Continent	16-13	0.55172	+1	181	-0.016617	181	-0.256662	134	73.2421	232	-2.60094	5.1002	217	0.089082	
